CHR	numNT	numGene		
1	248956422	3000		
2	242193529	2500		
3	198295559	1900		
4	190214555	1600		
5	181538259	1700		
6	170805979	1900		
7	159345973	1800		
X	156040895	1400		
8	145138636	1400		
9	138394717	1400		
11	135086622	2000		
10	133797422	1400		
12	133275309	1600		
13	114364328	800		
14	107043718	1200		
15	101991189	1200		
16	90338345	1300		
17	83257441	1600		
18	80373285	600		
20	64444167	900		
19	58617616	1700		
Y	57227415	200		
22	50818468	800		
21	46709983	400		
MT	16569	13		
non-specified	undefined			
