Gene	MostFrequentPhenotype	numVariant	numPhenotypes	Date	MostFrequentInterpretation
NYX	Congenital stationary night blindness, type 1	42	1	apr2013	pathogenic
DUOXA2	Thyroglobulin synthesis defect	7	1	apr2013	pathogenic
AGK	Cataract and cardiomyopathy	70	2	apr2013	pathogenic
CHD8	Autism, susceptibility to, 18	63	1	apr2013	risk factor
NIPA1	Spastic paraplegia 6	21	1	apr2013	pathogenic
ALDH7A1	Pyridoxine-dependent epilepsy	63	1	apr2013	pathogenic
ELANE	Severe congenital neutropenia autosomal domin	77	2	apr2013	pathogenic
AGA	Aspartylglycosaminuria	77	2	apr2013	pathogenic
KHDC3L	Hydatidiform mole, recurrent, 2	21	1	apr2013	pathogenic
B2M	Hypoproteinemia, hypercatabolic	14	2	apr2013	pathogenic
AGL	GLYCOGEN STORAGE DISEASE, TYPE IIIa	175	4	apr2013	pathogenic
LIFR	Stuve-Wiedemann syndrome	28	1	apr2013	pathogenic
ATRX	ATR-X syndrome	182	3	apr2013	pathogenic
PDCD10	Cerebral cavernous malformations 3	49	1	apr2013	pathogenic
IGKC	IMMUNOGLOBULIN KAPPA LIGHT CHAIN POLYMORPHISM	35	2	apr2013	no known pathogenicity
AGT	Renal dysplasia	56	5	apr2013	pathogenic
ASS1	Citrullinemia type I	133	2	apr2013	pathogenic
ADIPOQ	Hypoadiponectinemia	7	1	apr2013	pathogenic
CP	Deficiency of ferroxidase	70	4	apr2013	pathogenic
NR0B2	Obesity, mild, early-onset	14	1	apr2013	pathogenic
NR0B1	Congenital adrenal hypoplasia, X-linked	224	5	apr2013	pathogenic
PRNP	Genetic prion diseases	371	13	apr2013	pathogenic
ITPKC	Kawasaki disease, susceptibility to	7	1	apr2013	risk factor
SMCHD1	Facioscapulohumeral muscular dystrophy 1b	35	1	apr2013	pathogenic
CRBN	Mental retardation, autosomal recessive 2	7	1	apr2013	pathogenic
SPTLC2	NEUROPATHY, HEREDITARY SENSORY, TYPE IC	21	2	apr2013	pathogenic
SPTLC1	Neuropathy hereditary sensory and autonomic t	42	2	apr2013	pathogenic
ABCD1	Adrenoleukodystrophy	231	2	apr2013	pathogenic
GRIN1	Mental retardation, autosomal dominant 8	14	1	apr2013	pathogenic
ABCD4	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cb	28	1	apr2013	pathogenic
PRKAG2	Familial hypertrophic cardiomyopathy 6	112	6	apr2013	pathogenic
TCOF1	Treacher Collins syndrome	63	1	apr2013	pathogenic
ZNF41	X-Linked Mental Retardation 89	14	1	apr2013	pathogenic
KCNJ2	Andersen Tawil syndrome	105	4	apr2013	pathogenic
XPC	Xeroderma pigmentosum, group C	70	1	apr2013	pathogenic
XPA	Xeroderma pigmentosum, type 1	49	1	apr2013	pathogenic
CRB1	Retinitis pigmentosa 12	112	3	apr2013	pathogenic
PPP2R2B	Spinocerebellar ataxia 12	7	1	apr2013	pathogenic
GC	GC1/GC2 POLYMORPHISM	28	2	apr2013	no known pathogenicity
OPA3	3-Methylglutaconic aciduria type 3	42	2	apr2013	pathogenic
OPA1	Dominant hereditary optic atrophy	133	3	apr2013	pathogenic
GK	Glycerol kinase deficiency, isolated	56	2	apr2013	pathogenic
TRAPPC9	Mental retardation, autosomal recessive 13	28	1	apr2013	pathogenic
ZNF674	X-linked mental retardation 92	7	1	apr2013	pathogenic
ORM1	OROSOMUCOID POLYMORPHISM	42	4	apr2013	no known pathogenicity
MAX	Pheochromocytoma, susceptibility to	35	1	apr2013	risk factor
TRAPPC2	Oral-facial-digital syndrome	182	2	apr2013	pathogenic
PRPH	Amyotrophic lateral sclerosis, susceptibility	14	1	apr2013	risk factor
MAF	Cataract, pulverulent, juvenile-onset	14	2	apr2013	pathogenic
NTHL1	Tuberous sclerosis 2	7	1	apr2013	pathogenic
MYO3A	Deafness, autosomal recessive 30	21	1	apr2013	pathogenic
ATP2A1	Brody myopathy	35	1	apr2013	pathogenic
ATP2A2	Keratosis follicularis	91	4	apr2013	pathogenic
ALDH3A2	Sjögren-Larsson syndrome	63	1	apr2013	pathogenic
