Gene	MostFrequentPhenotype	numVariant	numPhenotypes	Date	MostFrequentInterpretation
RNF17	Malignant melanoma	6	2	aug2014	not provided
ATRX	AllHighlyPenetrant	73	8	aug2014	Pathogenic
PMM2	Carbohydrate-deficient glycoprotein syndrome 	42	4	aug2014	Pathogenic
ASS1	Citrullinemia type I	35	6	aug2014	Pathogenic
SPR	Sepiapterin reductase deficiency	8	1	aug2014	Pathogenic
GRIN1	not provided	18	5	aug2014	not provided
TCOF1	AllHighlyPenetrant	27	4	aug2014	Likely benign
XPC	AllHighlyPenetrant	40	2	aug2014	not provided
XPA	AllHighlyPenetrant	14	2	aug2014	Pathogenic
OPA3	3-Methylglutaconic aciduria type 3	8	4	aug2014	Pathogenic
OPA1	not provided	73	6	aug2014	Benign
COL7A1	Recessive dystrophic epidermolysis bullosa	62	11	aug2014	Pathogenic
RNF219-AS1	Lung cancer	6	1	aug2014	Uncertain significance
MYO3A	AllHighlyPenetrant	40	4	aug2014	Benign
ATP2A1	Developmental delay and additional significan	29	10	aug2014	Pathogenic
ATP2A2	Keratosis follicularis	16	6	aug2014	Pathogenic
ITGA7	AllHighlyPenetrant	29	5	aug2014	Benign
TRHR	Malignant melanoma	6	2	aug2014	not provided
CYP27B1	Vitamin D-dependent rickets, type 1	17	1	aug2014	Pathogenic
ABCB1	Malignant melanoma	7	5	aug2014	not provided
TPRN	Deafness, autosomal recessive 79	7	2	aug2014	Pathogenic
COL4A5	Alport syndrome, X-linked recessive	637	4	aug2014	Pathogenic
COL4A4	Malignant melanoma	16	4	aug2014	Pathogenic
COL4A3	Alport syndrome, autosomal recessive	14	5	aug2014	Pathogenic
COL4A2	Malignant melanoma	14	4	aug2014	not provided
COL4A1	Angiopathy, hereditary, with nephropathy, ane	26	9	aug2014	Pathogenic
GRN	not provided	110	6	aug2014	not provided
CHST3	Spondyloepiphyseal dysplasia with congenital 	13	2	aug2014	Pathogenic
CHST6	Macular corneal dystrophy Type I	11	3	aug2014	Pathogenic
HLCS	not provided	22	3	aug2014	Benign
NOG	Cushings symphalangism	22	5	aug2014	Pathogenic
FAM134B	Hereditary sensory and autonomic neuropathy t	12	3	aug2014	Pathogenic
SMAD4	Juvenile polyposis syndrome	156	11	aug2014	Pathogenic
SMAD3	Loeys-Dietz syndrome type 3	17	3	aug2014	Pathogenic
ERICH3	Malignant melanoma	7	2	aug2014	not provided
ART4	Dombrock-null phenotype	6	3	aug2014	Pathogenic
EDA	Hypohidrotic ectodermal dysplasia	55	5	aug2014	Pathogenic
COL18A1	Knobloch syndrome 1	10	2	aug2014	Pathogenic
CADPS2	Lung cancer	9	2	aug2014	Uncertain significance
CCDC114	Ciliary dyskinesia, primary, 20	6	2	aug2014	Pathogenic
ATP1A3	Dystonia 12	18	4	aug2014	Pathogenic
ATP1A2	not provided	41	6	aug2014	Benign
CRTAP	Osteogenesis imperfecta type 7	8	1	aug2014	Pathogenic
ABAT	Developmental delay and additional significan	9	3	aug2014	Pathogenic
FRG1	Developmental delay and additional significan	7	5	aug2014	Uncertain significance
PHOX2A	Developmental delay and additional significan	8	3	aug2014	Pathogenic
PHOX2B	Congenital central hypoventilation	12	6	aug2014	Pathogenic
CFH	Atypical hemolytic-uremic syndrome 1	35	6	aug2014	risk factor
CFI	Atypical hemolytic-uremic syndrome 3	13	4	aug2014	risk factor
