date	number
13-Aug-12	4.00
31-Aug-12	413.00
11-Sep-12	603.00
12-Sep-12	1748.00
13-Sep-12	1751.00
14-Sep-12	1758.00
15-Sep-12	1804.00
16-Sep-12	1824.00
21-Sep-12	4589.00
22-Sep-12	4606.00
23-Sep-12	4612.00
26-Sep-12	4615.00
27-Sep-12	4623.00
28-Sep-12	4625.00
30-Sep-12	4632.00
03-Oct-12	4641.00
04-Oct-12	4645.00
05-Oct-12	4651.00
07-Oct-12	4652.00
10-Oct-12	4666.00
11-Oct-12	4681.00
12-Oct-12	4685.00
13-Oct-12	4692.00
14-Oct-12	5536.00
23-Oct-12	6028.00
28-Oct-12	6034.00
29-Oct-12	6035.00
07-Nov-12	6036.00
08-Nov-12	6041.00
13-Nov-12	6042.00
16-Nov-12	6059.00
29-Nov-12	6914.00
14-Dec-12	6922.00
18-Dec-12	6926.00
21-Dec-12	7075.00
26-Dec-12	7088.00
27-Dec-12	7107.00
28-Dec-12	7113.00
08-Jan-13	7131.00
01-Feb-13	7702.00
14-Feb-13	7703.00
16-Feb-13	12069.00
17-Feb-13	12071.00
20-Feb-13	19371.00
21-Feb-13	19876.00
22-Feb-13	19971.00
23-Feb-13	19973.00
24-Feb-13	19996.00
27-Feb-13	19998.00
28-Feb-13	20000.00
03-Mar-13	20012.00
05-Mar-13	20019.00
06-Mar-13	20025.00
09-Mar-13	20035.00
10-Mar-13	20047.00
13-Mar-13	20048.00
14-Mar-13	20066.00
15-Mar-13	20068.00
16-Mar-13	20071.00
17-Mar-13	20077.00
18-Mar-13	20085.00
20-Mar-13	20115.00
21-Mar-13	20128.00
22-Mar-13	20135.00
23-Mar-13	20138.00
26-Mar-13	20556.00
27-Mar-13	20558.00
28-Mar-13	20561.00
29-Mar-13	20563.00
30-Mar-13	20566.00
31-Mar-13	20578.00
02-Apr-13	20581.00
03-Apr-13	20585.00
04-Apr-13	20599.00
05-Apr-13	20606.00
06-Apr-13	20655.00
07-Apr-13	20658.00
09-Apr-13	21149.00
10-Apr-13	21150.00
11-Apr-13	21156.00
12-Apr-13	21169.00
13-Apr-13	21173.00
18-Apr-13	21178.00
19-Apr-13	21674.00
20-Apr-13	29002.00
21-Apr-13	29006.00
25-Apr-13	29008.00
26-Apr-13	29123.00
28-Apr-13	29128.00
30-Apr-13	29135.00
02-May-13	29143.00
03-May-13	29150.00
04-May-13	29384.00
05-May-13	29390.00
08-May-13	29392.00
09-May-13	29398.00
10-May-13	29408.00
11-May-13	29414.00
12-May-13	29421.00
16-May-13	29422.00
17-May-13	29621.00
18-May-13	29625.00
19-May-13	29655.00
20-May-13	29673.00
22-May-13	29686.00
23-May-13	29687.00
24-May-13	29692.00
25-May-13	29693.00
26-May-13	29695.00
30-May-13	29715.00
31-May-13	29729.00
01-Jun-13	29738.00
04-Jun-13	29746.00
05-Jun-13	29755.00
06-Jun-13	29788.00
07-Jun-13	29789.00
08-Jun-13	29793.00
09-Jun-13	29799.00
11-Jun-13	29800.00
12-Jun-13	29806.00
13-Jun-13	29812.00
14-Jun-13	29814.00
17-Jun-13	29815.00
23-Jun-13	29821.00
29-Jun-13	29827.00
30-Jun-13	29833.00
03-Jul-13	29839.00
04-Jul-13	30021.00
05-Jul-13	30189.00
09-Jul-13	30193.00
10-Jul-13	30202.00
11-Jul-13	30216.00
12-Jul-13	30230.00
15-Jul-13	30804.00
19-Jul-13	30831.00
20-Jul-13	30837.00
21-Jul-13	30848.00
22-Jul-13	34984.00
24-Jul-13	35004.00
25-Jul-13	35005.00
26-Jul-13	35023.00
27-Jul-13	35039.00
28-Jul-13	35044.00
30-Jul-13	35085.00
31-Jul-13	35097.00
01-Aug-13	35101.00
02-Aug-13	35107.00
03-Aug-13	35108.00
04-Aug-13	35110.00
08-Aug-13	35111.00
09-Aug-13	35205.00
10-Aug-13	35206.00
11-Aug-13	35248.00
13-Aug-13	40237.00
14-Aug-13	40256.00
15-Aug-13	41121.00
17-Aug-13	41122.00
18-Aug-13	41126.00
21-Aug-13	41127.00
22-Aug-13	42109.00
23-Aug-13	42112.00
24-Aug-13	42116.00
25-Aug-13	42123.00
28-Aug-13	42124.00
29-Aug-13	42132.00
30-Aug-13	42144.00
31-Aug-13	42146.00
01-Sep-13	42156.00
03-Sep-13	42165.00
05-Sep-13	42166.00
07-Sep-13	42169.00
08-Sep-13	42173.00
09-Sep-13	42195.00
11-Sep-13	42506.00
13-Sep-13	42580.00
14-Sep-13	43349.00
15-Sep-13	43353.00
16-Sep-13	43360.00
18-Sep-13	43361.00
19-Sep-13	43423.00
20-Sep-13	43428.00
21-Sep-13	43429.00
22-Sep-13	43431.00
26-Sep-13	43469.00
27-Sep-13	68990.00
28-Sep-13	69000.00
29-Sep-13	69001.00
30-Sep-13	69833.00
02-Oct-13	69846.00
04-Oct-13	69853.00
05-Oct-13	69858.00
06-Oct-13	69861.00
08-Oct-13	69865.00
09-Oct-13	69871.00
10-Oct-13	69876.00
17-Oct-13	69883.00
18-Oct-13	69892.00
19-Oct-13	69898.00
21-Oct-13	69902.00
22-Oct-13	69926.00
23-Oct-13	69935.00
26-Oct-13	69945.00
28-Oct-13	69947.00
30-Oct-13	69962.00
01-Nov-13	69964.00
04-Nov-13	69973.00
05-Nov-13	69983.00
07-Nov-13	69995.00
09-Nov-13	70004.00
13-Nov-13	70015.00
14-Nov-13	70028.00
15-Nov-13	70038.00
16-Nov-13	70040.00
17-Nov-13	70042.00
20-Nov-13	70046.00
27-Nov-13	70047.00
29-Nov-13	70049.00
30-Nov-13	70056.00
04-Dec-13	72352.00
05-Dec-13	72364.00
06-Dec-13	72383.00
07-Dec-13	72388.00
08-Dec-13	72392.00
09-Dec-13	72394.00
10-Dec-13	72396.00
11-Dec-13	72398.00
14-Dec-13	72405.00
18-Dec-13	72410.00
19-Dec-13	72411.00
23-Dec-13	72420.00
24-Dec-13	72421.00
25-Dec-13	72424.00
04-Jan-14	72429.00
07-Jan-14	72437.00
08-Jan-14	72450.00
09-Jan-14	72454.00
10-Jan-14	72456.00
14-Jan-14	72470.00
15-Jan-14	87452.00
16-Jan-14	87454.00
17-Jan-14	89245.00
18-Jan-14	89248.00
19-Jan-14	89271.00
24-Jan-14	89282.00
05-Feb-14	89659.00
08-Feb-14	89673.00
09-Feb-14	89679.00
12-Feb-14	89686.00
13-Feb-14	89691.00
19-Feb-14	89706.00
20-Feb-14	89709.00
21-Feb-14	89728.00
24-Feb-14	89729.00
26-Feb-14	89733.00
01-Mar-14	89738.00
02-Mar-14	89743.00
10-Mar-14	89754.00
12-Mar-14	89766.00
13-Mar-14	94229.00
