Gene	MostFrequentPhenotype	numVariant	numPhenotypes	Date	MostFrequentInterpretation
	Lung cancer	15839	15839	aug2014	Uncertain significance
DUOXA1	Malignant melanoma	1	1	aug2014	not provided
RNF17	Malignant melanoma	6	6	aug2014	not provided
FGFR1OP2	Malignant melanoma	1	1	aug2014	not provided
MZT2B	Malignant melanoma	2	2	aug2014	not provided
ATRX	AllHighlyPenetrant	73	73	aug2014	Pathogenic
PMM2	Carbohydrate-deficient glycoprotein syndrome 	42	42	aug2014	Pathogenic
ASS1	Citrullinemia type I	35	35	aug2014	Pathogenic
NCBP1	Malignant melanoma	1	1	aug2014	not provided
ZNF708	Malignant melanoma	2	2	aug2014	not provided
ZNF878	Malignant melanoma	1	1	aug2014	not provided
NID2	Malignant melanoma	4	4	aug2014	not provided
SPR	Sepiapterin reductase deficiency	8	8	aug2014	Pathogenic
ZNF707	Malignant melanoma	1	1	aug2014	not provided
CAMK4	Lung cancer	5	5	aug2014	Uncertain significance
ZC3H13	Lung cancer	2	2	aug2014	not provided
RNF115	Malignant melanoma	1	1	aug2014	not provided
ZC3H15	Malignant melanoma	1	1	aug2014	not provided
ZC3H14	AllHighlyPenetrant	5	5	aug2014	Likely benign
HMGCLL1	Malignant melanoma	3	3	aug2014	not provided
ZC3H18	Malignant melanoma	2	2	aug2014	not provided
GRIN1	not provided	18	18	aug2014	not provided
SP8	Abnormality of the nervous system	1	1	aug2014	Uncertain significance
DHX9	Developmental delay and additional significan	2	2	aug2014	Pathogenic
TCOF1	AllHighlyPenetrant	27	27	aug2014	Likely benign
NUP98	Malignant melanoma	3	3	aug2014	not provided
XPC	AllHighlyPenetrant	40	40	aug2014	not provided
XPA	AllHighlyPenetrant	14	14	aug2014	Pathogenic
SP4	Malignant melanoma	3	3	aug2014	not provided
SP6	Malignant melanoma	1	1	aug2014	not provided
SP7	Malignant melanoma	3	3	aug2014	not provided
OR5B3	Malignant melanoma	2	2	aug2014	not provided
GOLIM4	Malignant melanoma	1	1	aug2014	not provided
OPA3	3-Methylglutaconic aciduria type 3	8	8	aug2014	Pathogenic
OPA1	not provided	73	73	aug2014	Benign
FAM162B	Malignant melanoma	1	1	aug2014	not provided
COL7A1	Recessive dystrophic epidermolysis bullosa	62	62	aug2014	Pathogenic
KLLN	Cowden disease 4	1	1	aug2014	Pathogenic
ARFRP1	Malignant melanoma	1	1	aug2014	not provided
RNF219-AS1	Lung cancer	6	6	aug2014	Uncertain significance
SPPL2C	Malignant melanoma	2	2	aug2014	not provided
MYO3A	AllHighlyPenetrant	40	40	aug2014	Benign
ITGA9	Malignant melanoma	3	3	aug2014	not provided
MYO3B	Malignant melanoma	5	5	aug2014	not provided
ATP2A1	Developmental delay and additional significan	29	29	aug2014	Pathogenic
ATP2A2	Keratosis follicularis	16	16	aug2014	Pathogenic
ATP2A3	Malignant melanoma	1	1	aug2014	not provided
ITGA1	Malignant melanoma	2	2	aug2014	not provided
ITGA2	Lung cancer	1	1	aug2014	Uncertain significance
ITGA3	Interstitial lung disease, nephrotic syndrome	5	5	aug2014	Pathogenic
ITGA4	Malignant melanoma	4	4	aug2014	not provided
ITGA5	Malignant melanoma	1	1	aug2014	not provided
ITGA6	Lung cancer	3	3	aug2014	Uncertain significance
ITGA7	AllHighlyPenetrant	29	29	aug2014	Benign
TRHR	Malignant melanoma	6	6	aug2014	not provided
DENND4B	Macrocephaly	2	2	aug2014	Pathogenic
DENND4C	Malignant melanoma	1	1	aug2014	not provided
LOC102724958	Lung cancer	1	1	aug2014	Uncertain significance
PHLDA3	Malignant melanoma	1	1	aug2014	not provided
UFSP2	Lung cancer	2	2	aug2014	Pathogenic
GAP43	Malignant melanoma	3	3	aug2014	not provided
PAMR1	Lung cancer	1	1	aug2014	Uncertain significance
CYP27B1	Vitamin D-dependent rickets, type 1	17	17	aug2014	Pathogenic
FBXL17	Lung cancer	3	3	aug2014	Uncertain significance
HRH1	Lung cancer	1	1	aug2014	Uncertain significance
FAM169A	Malignant melanoma	1	1	aug2014	not provided
FAM169B	Lung cancer	1	1	aug2014	Uncertain significance
RALGAPA2	Lung cancer	4	4	aug2014	Uncertain significance
GHDC	Malignant melanoma	1	1	aug2014	not provided
ABCB1	Malignant melanoma	7	7	aug2014	not provided
H19	Beckwith-Wiedemann syndrome	4	4	aug2014	Pathogenic
SDK2	Lung cancer	1	1	aug2014	Uncertain significance
TPRN	Deafness, autosomal recessive 79	7	7	aug2014	Pathogenic
THSD4	Lung cancer	1	1	aug2014	Uncertain significance
FAM212B	Malignant melanoma	1	1	aug2014	not provided
THSD1	Lung cancer	2	2	aug2014	not provided
CHST9	Lung cancer	3	3	aug2014	Uncertain significance
COL4A6	Developmental delay and additional significan	4	4	aug2014	Pathogenic
COL4A5	Alport syndrome, X-linked recessive	637	637	aug2014	Pathogenic
COL4A4	Malignant melanoma	16	16	aug2014	Pathogenic
COL4A3	Alport syndrome, autosomal recessive	14	14	aug2014	Pathogenic
COL4A2	Malignant melanoma	14	14	aug2014	not provided
COL4A1	Angiopathy, hereditary, with nephropathy, ane	26	26	aug2014	Pathogenic
SLC35D2	Lung cancer	3	3	aug2014	Uncertain significance
GRN	not provided	110	110	aug2014	not provided
CHST3	Spondyloepiphyseal dysplasia with congenital 	13	13	aug2014	Pathogenic
GCLM	Myocardial infarction	2	2	aug2014	risk factor
CHST6	Macular corneal dystrophy Type I	11	11	aug2014	Pathogenic
ITGAX	Malignant melanoma	4	4	aug2014	not provided
BCL2A1	Nonsyndromic microcephaly	1	1	aug2014	Uncertain significance
HLCS	not provided	22	22	aug2014	Benign
NOG	Cushings symphalangism	22	22	aug2014	Pathogenic
ITGAV	Malignant melanoma	1	1	aug2014	not provided
SIGMAR1	Amyotrophic lateral sclerosis 16, juvenile	1	1	aug2014	Pathogenic
ITGAL	Malignant melanoma	1	1	aug2014	not provided
ITGAM	Malignant melanoma	1	1	aug2014	not provided
LOC286359	Lung cancer	1	1	aug2014	Uncertain significance
ITGAD	Malignant melanoma	2	2	aug2014	not provided
FAM134B	Hereditary sensory and autonomic neuropathy t	12	12	aug2014	Pathogenic
SMAD9	Primary pulmonary hypertension 2	4	4	aug2014	Pathogenic
TRERF1	Malignant melanoma	3	3	aug2014	not provided
SMAD4	Juvenile polyposis syndrome	156	156	aug2014	Pathogenic
SMAD6	Aortic valve disease 2	4	4	aug2014	Pathogenic
SMAD7	Colorectal cancer 3	2	2	aug2014	not provided
GOLPH3L	Malignant melanoma	1	1	aug2014	not provided
SMAD1	Variant of unknown significance	1	1	aug2014	Uncertain significance
SMAD2	not provided	4	4	aug2014	not provided
SMAD3	Loeys-Dietz syndrome type 3	17	17	aug2014	Pathogenic
AMMECR1L	Malignant melanoma	1	1	aug2014	not provided
TMPRSS11A	Malignant melanoma	1	1	aug2014	not provided
IGF2R	Hepatocellular carcinoma	2	2	aug2014	other
TMPRSS11E	Malignant melanoma	4	4	aug2014	not provided
TMPRSS11F	Malignant melanoma	3	3	aug2014	not provided
RAD21L1	Malignant melanoma	1	1	aug2014	not provided
SLC36A4	Malignant melanoma	1	1	aug2014	not provided
SLC36A3	Malignant melanoma	1	1	aug2014	not provided
SLC36A2	Hyperglycinuria	4	4	aug2014	Pathogenic
SLC36A1	Malignant melanoma	1	1	aug2014	not provided
LOC101929532	Lung cancer	1	1	aug2014	Uncertain significance
ERICH6	Malignant melanoma	3	3	aug2014	not provided
ERICH3	Malignant melanoma	7	7	aug2014	not provided
ERICH1	Lung cancer	1	1	aug2014	Uncertain significance
C14orf119	Malignant melanoma	1	1	aug2014	not provided
ART1	Malignant melanoma	1	1	aug2014	not provided
HRH3	Malignant melanoma	1	1	aug2014	not provided
ART3	Cerebral degeneration	2	2	aug2014	not provided
ART4	Dombrock-null phenotype	6	6	aug2014	Pathogenic
TCEA2	Lung cancer	2	2	aug2014	not provided
TCEA3	Lung cancer	1	1	aug2014	Uncertain significance
COX4I2	Exocrine pancreatic insufficiency, dyserythro	1	1	aug2014	Pathogenic
COX4I1	Developmental delay and additional significan	2	2	aug2014	Pathogenic
BFAR	Malignant melanoma	2	2	aug2014	not provided
CRTAM	Lung cancer	1	1	aug2014	Uncertain significance
